,sender,out_degree,in_degree,tot_transactions,total_amount,max_amount,min_amount,type_of_address
173,KT1DksKXvCBJN7Mw6frGj6y6F3CbABWZVpj1,1154,1652,45073,4578217534444.0,88163964320.0,0.0,normal
174,tz1QS7N8HnRBG2RNh3Kjty58XFXuLFVdnKGY,795,7,51954,172246438281.0,40000000000.0,0.0,normal
175,KT1KJhxkCpZNwAFQURDoJ79hGqQgSC9UaWpG,2,1219,53325,0.0,0.0,0.0,normal
176,tz1STpayh8rNYqpxVf3x86pWpzmcKwmrMvNv,2159,3,69961,172368374226.0,365189505.0,100.0,normal
177,tz1Tnr7CDL5i45EHSPpPReBocDiGbMwpdTCn,10748,4,374908,95977840891.0,468334127.0,1.0,normal
178,tz1aF8E89g1EqqzCmbNCLunTtCtxgkoQUX7N,935,3,68269,185234535336.0,275037046.0,574.0,normal
179,KT1P8n2qzJjwMPbHJfi4o8xu6Pe3gaU3u2A3,1,57752,104990,0.0,0.0,0.0,normal
180,KT1JAgJC6FTJ9SzGGits8GVonCr8cfFp5HGV,837,993,38286,183299190224.0,10046020074.0,0.0,normal
181,tz1LcDMi4TAPL31ZRvkYDm4fAXFWRugCzxPY,529,60,71996,28550612468.0,1000000000.0,0.0,normal
182,tz1MdSsDBG8k8q1pxZrdpSC2Aw49ukFs8ACy,3949,56,288663,777897860148.0,38630000000.0,0.0,normal
183,tz1cNnEdJYgbkB8YN6vD5QJTBays2EJsw5A7,190,47,47868,55038811526.0,2000000000.0,0.0,normal
184,KT1Kp3KVT4nHFmSuL8bvETkgQzseUYP3LDBy,2,1175,49509,0.0,0.0,0.0,normal
185,KT1QxLqukyfohPV5kPkw97Rs6cw1DDDvYgbB,4249,6131,96558,4543568068262.0,23158584194.0,0.0,normal
186,tz1fTLiQ2bFzVJR4qzpu5nzuzDmc6mEpAUAJ,736,5,44166,8247110224.0,161032912.0,1.0,normal
187,KT1WxgZ1ZSfMgmsSDDcUn8Xn577HwnQ7e1Lb,3951,5048,158720,4919111771688.0,25240118522.0,0.0,normal
188,tz1ZHbDC8zZWuTuGDPfVWrd4EdDMz44oJ8UF,2,2,48212,1000000.0,1000000.0,0.0,normal
189,tz1ZF8Cg8ARjRjVrVDnQsHDBbg4bBspJAcPb,116,46,57918,958519350039.0,1540000000.0,0.0,normal
190,tz1MoonPbyMJSqMVsVwExgVc5egnv18CgSDq,3675,11,260764,1247187071427.0,3470952957.0,1.0,normal
191,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,6642,12128,1284919,3282637168446.0,8250000000.0,0.0,normal
192,KT1EtjRRCBC2exyCRXz8UfV7jz7svnkqi7di,1597,2441,114027,2410392484046.0,10405931853.0,0.0,normal
193,tz3adcvQaKXTCg12zbninqo3q8ptKKtDFTLv,1117,21,144469,2712122529061.0,349999000000.0,657.0,normal
194,KT1H5b7LxEExkFd2Tng77TfuWbM5aPvHstPr,601,1120,112067,1561661902550.0,19791255079.0,0.0,normal
195,KT1NN1NgmKFTW5FUWiyxVjUt3kH9bCiqgxLW,19,103,75138,0.0,0.0,0.0,normal
196,KT1GePvufEGURxst4KwRX3jbvTgreHJo72it,3,728,217514,0.0,0.0,0.0,normal
197,KT1Pyd1r9F4nMaHy8pPZxPSq6VCn9hVbVrf4,6,1599,255449,1017174748660.0,11217724600.0,0.0,normal
198,KT1Gdix8LoDoQng7YqdPNhdP5V7JRX8FqWvM,2851,4405,63451,2727736618318.0,19105530124.0,0.0,normal
199,tz1ioKtFngSzMg1eXwWu8d1YcBgAoCZeSycU,317,7,36464,154010302834.0,3300000000.0,1.0,normal
200,tz1e4N6UZzrjoxKbsJoLnxuBy6DfZu4voiTV,54257,19184,98316,131888910707372.0,1000000000000.0,7.0,normal
201,tz1fg4gu3agTw4BYwySKAq5cMYMnw6wfqrQx,618,38,72634,39172012731.0,1000110000.0,0.0,normal
202,tz1TDSNJcq2sKtxjRBdMoqkr72yaVWFJiTrN,2090,3,37791,65357910477.0,370945135.0,0.0,normal
203,KT1XutoFJ9dXvWxT7ttG86N2tSTUEpatFVTm,10,799,43194,0.0,0.0,0.0,normal
204,KT1JeWiS8j1kic4PHx7aTnEr9p4xVtJNzk5b,3,622,39438,0.0,0.0,0.0,normal
205,tz1TGGgh4SdHuPxbxGJiQKif6pUPFULayt6s,2,2,60454,0.0,0.0,0.0,normal
206,tz1LEwKokf48BDXX6dAnfCt73GWj6LASKcff,172,76,88469,682203724727.0,2171764117.0,0.0,normal
207,tz1UCFixZ2aZg4FJezcNtT5U6XLJ57b3yyPN,161,52,123472,629267479579.0,305000000.0,0.0,normal
208,tz1c9HEyZdAWXZCLE7h3KcZCyykjZr7VY3QM,3104,13,235642,2138669645680.0,3544424625.0,0.0,normal
209,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,82261,18,9643101,3873117213990.0,26492000000.0,0.0,normal
210,tz1NsLemTeta4tkArFLfLTyzR6i17jchh8wP,3,2,150344,0.0,0.0,0.0,normal
211,tz1imZ4ZKk9ukiU9GdLLvmsAhCVuznfTyjKD,682,5,35780,11160422708.0,49122850.0,1.0,normal
