sender,tot_transactions,out_degree,in_degree,total_amount,max_amount,min_amount
tz1hjem5Rpf4KAVbwMLJet75TDb8HjAKnTYk,37099,10841,7925,70226089708414,3616996000000,0
KT1NkWx47WzJeHCSyB62WjLtFn4tRf3uXBur,65049,663,881,351391159250,1242972950,550
tz1M8U9MNBPt3gwogzvNqaF5L8tkwWgAFBUF,218523,2091,4,797673183833,1820421799,5
tz1TDSxFVDJhi2kttgM45PmhkpWRzfhqAozy,34403,2018,3,7305202860,63009469,0
KT1JQAZqShNMakSNXc2cgTzdAWZFemGcU6n1,97969,3,2113,20196750027,4656798317,0
tz1XWEi47p85eUwRZk2Xsp9VobSwUFq7GYKi,136133,3406,7,142778198540,4250000000,0
tz1UvGFB2vo79yF4KkDAZn3CrDUe9qirKebT,39339,59,13,1196810285,25000000,0
tz1RikjCkrEde1QQmuesp796jCxeiyE6t3Vo,35410,27,3,0,0,0
tz1LBEKXaxQbd5Gtzbc1ATCwc3pppu81aWGc,81213,3919,9,1556015467914,50000000000,0
KT1AbYeDbjjcAnV1QK7EZUUdqku77CdkTuv6,35802,1264,1664,1012234397749,31329715678,0
KT1DqhpvkfyBySVR4KV8Yu3K3jGSmLy7PTbr,71771,32,373,0,0,0
tz1c2yBQNrofzKvKLouC9TqHELSnh64fm8dn,30637,10121,3808,33771858721688,500000000000,110000
KT1FHiJmJUgZMPtv5F8M4ZEa6cb1D9Lf758T,35585,1324,1701,944599881960,12758004944,0
tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,42039,272,114,213034281838,3500000000,0
KT1CAYNQGvYSF5UvHK21grMrKpe2563w9UcX,31219,659,652,788297700348,37028557190,0
KT1K8A8DLUTVuHaDBCZiG6AJdvKJbtH8dqmN,65173,785,979,806370199254,9315942782,0
KT1Wjadao8AXkwNQmjstbPGtLd1ZrUyQEDX7,51324,304,466,701966600724,12619086338,0
tz1NZEtFkr2guKjpWcTpf4wxZhRhfcqZSkAE,32504,479,48,25988452989,80000000,0
KT1D36ZG99YuhoCRZXLL86tQYAbv36bCq9XM,64156,11,1485,0,0,0
tz1LonSbajvsh48sEp35EHrYNAWi6hUXz1vX,261209,3898,2,1012753553412,3235000000,1
tz1cNARmnRRrvZgspPr2rSTUWq5xtGTuKuHY,396515,3157,10,2149148818792,121979270000,0
KT1QQvdg7TGZAH85HtgNvQuoekNRegvQPk8R,69476,15,107,0,0,0
KT1UefQz7nP8BuuDk5Dd5LWo22N1ZPB7JB5o,90464,42,119,0,0,0
tz1TDSi2iE2pAzvTAXKq6raSbDuPiShh5wgu,38521,2087,4,177997742600,1864082581,0
